clip_id,predicted_emotion
clip_000008,neutral
clip_000013,disgust
clip_000019,neutral
clip_000045,disgust
clip_000050,happy
clip_000054,disgust
clip_000058,disgust
clip_000059,sad
clip_000060,sad
clip_000061,anger
clip_000078,anger
clip_000084,happy
clip_000089,fear
clip_000095,sad
clip_000096,disgust
clip_000102,neutral
clip_000121,anger
clip_000125,happy
clip_000127,fear
clip_000150,disgust
clip_000160,happy
clip_000180,sad
clip_000198,anger
clip_000207,anger
clip_000219,disgust
clip_000220,anger
clip_000244,disgust
clip_000246,neutral
clip_000247,neutral
clip_000250,disgust
clip_000258,anger
clip_000266,sad
clip_000269,happy
clip_000272,disgust
clip_000274,disgust
clip_000276,sad
clip_000286,disgust
clip_000287,anger
clip_000303,sad
clip_000312,disgust
clip_000313,sad
clip_000336,sad
clip_000337,sad
clip_000351,fear
clip_000361,happy
clip_000375,sad
clip_000394,sad
clip_000407,neutral
clip_000426,anger
clip_000428,neutral
clip_000437,anger
clip_000438,neutral
clip_000453,happy
clip_000456,anger
clip_000479,disgust
clip_000480,anger
clip_000503,neutral
clip_000516,sad
clip_000519,disgust
clip_000520,disgust
clip_000521,disgust
clip_000522,disgust
clip_000528,sad
clip_000529,happy
clip_000558,sad
clip_000560,disgust
clip_000594,disgust
clip_000598,happy
clip_000603,neutral
clip_000628,sad
clip_000644,anger
clip_000652,fear
clip_000658,sad
clip_000666,anger
clip_000671,happy
clip_000684,sad
clip_000688,sad
clip_000691,disgust
clip_000696,anger
clip_000706,sad
clip_000710,happy
clip_000722,neutral
clip_000750,happy
clip_000758,happy
clip_000761,sad
clip_000764,neutral
clip_000765,fear
clip_000767,sad
clip_000769,sad
clip_000778,anger
clip_000779,sad
clip_000789,sad
clip_000798,sad
clip_000803,disgust
clip_000819,sad
clip_000821,fear
clip_000827,happy
clip_000835,neutral
clip_000850,neutral
clip_000866,anger
clip_000875,neutral
clip_000893,fear
clip_000895,neutral
clip_000901,happy
clip_000912,anger
clip_000920,anger
clip_000922,neutral
clip_000924,fear
clip_000928,fear
clip_000931,happy
clip_000939,sad
clip_000942,happy
clip_000945,neutral
clip_000951,sad
clip_000953,anger
clip_000964,happy
clip_000965,happy
clip_000967,sad
clip_000968,anger
clip_000974,disgust
clip_000975,happy
clip_000977,fear
clip_000979,disgust
clip_000980,fear
clip_000989,sad
clip_001008,neutral
clip_001017,anger
clip_001028,disgust
clip_001031,happy
clip_001042,disgust
clip_001059,fear
clip_001075,sad
clip_001081,happy
clip_001092,sad
clip_001098,fear
clip_001111,fear
clip_001128,anger
clip_001149,anger
clip_001153,sad
clip_001161,disgust
clip_001167,fear
clip_001175,neutral
clip_001176,neutral
clip_001179,disgust
clip_001187,sad
clip_001191,sad
clip_001196,disgust
clip_001201,fear
clip_001235,happy
clip_001241,neutral
clip_001243,neutral
clip_001245,sad
clip_001256,neutral
clip_001261,sad
clip_001265,happy
clip_001278,happy
clip_001279,anger
clip_001285,neutral
clip_001287,anger
clip_001289,happy
clip_001300,disgust
clip_001301,fear
clip_001305,happy
clip_001319,sad
clip_001340,neutral
clip_001369,neutral
clip_001379,sad
clip_001398,neutral
clip_001402,sad
clip_001409,anger
clip_001410,fear
clip_001425,disgust
clip_001428,neutral
clip_001439,fear
clip_001468,neutral
clip_001474,neutral
clip_001478,happy
clip_001481,disgust
clip_001484,disgust
clip_001485,happy
clip_001486,sad
clip_001487,happy
clip_001491,anger
clip_001494,neutral
clip_001495,disgust
clip_001501,fear
clip_001506,disgust
clip_001525,sad
clip_001535,sad
clip_001550,neutral
